seed,noise_percentage,noise_test,accuracy,noise_snr
21,20,babble,0.9570552147239264,24.0
22,20,babble,0.9586912065439673,24.0
23,20,babble,0.9539877300613497,24.0
24,20,babble,0.9560327198364008,24.0
0,20,babble,0.9531697341513292,21.0
1,20,babble,0.9507157464212679,21.0
2,20,babble,0.9550102249488752,21.0
3,20,babble,0.9556237218813906,21.0
4,20,babble,0.9523517382413088,21.0
5,20,babble,0.9552147239263804,21.0
6,20,babble,0.9531697341513292,21.0
7,20,babble,0.9543967280163599,21.0
8,20,babble,0.950920245398773,21.0
9,20,babble,0.9535787321063395,21.0
10,20,babble,0.9507157464212679,21.0
11,20,babble,0.9556237218813906,21.0
12,20,babble,0.9564417177914111,21.0
13,20,babble,0.9531697341513292,21.0
14,20,babble,0.9564417177914111,21.0
15,20,babble,0.9529652351738241,21.0
16,20,babble,0.9548057259713701,21.0
17,20,babble,0.9566462167689161,21.0
18,20,babble,0.9515337423312883,21.0
19,20,babble,0.9515337423312883,21.0
20,20,babble,0.9529652351738241,21.0
21,20,babble,0.9535787321063395,21.0
22,20,babble,0.9562372188139059,21.0
23,20,babble,0.9507157464212679,21.0
24,20,babble,0.9527607361963191,21.0
0,20,babble,0.9486707566462168,18.0
1,20,babble,0.9480572597137015,18.0
2,20,babble,0.9546012269938651,18.0
3,20,babble,0.9525562372188139,18.0
4,20,babble,0.9492842535787321,18.0
5,20,babble,0.9527607361963191,18.0
6,20,babble,0.9498977505112475,18.0
7,20,babble,0.9523517382413088,18.0
8,20,babble,0.947239263803681,18.0
9,20,babble,0.9470347648261759,18.0
10,20,babble,0.9476482617586912,18.0
11,20,babble,0.9517382413087935,18.0
12,20,babble,0.950920245398773,18.0
13,20,babble,0.9498977505112475,18.0
14,20,babble,0.9515337423312883,18.0
15,20,babble,0.9478527607361963,18.0
16,20,babble,0.9503067484662576,18.0
17,20,babble,0.9513292433537832,18.0
18,20,babble,0.9482617586912065,18.0
19,20,babble,0.9468302658486708,18.0
20,20,babble,0.9494887525562372,18.0
21,20,babble,0.947239263803681,18.0
22,20,babble,0.9523517382413088,18.0
23,20,babble,0.9456032719836401,18.0
24,20,babble,0.9478527607361963,18.0
0,20,babble,0.941717791411043,15.0
1,20,babble,0.9431492842535787,15.0
2,20,babble,0.9496932515337423,15.0
3,20,babble,0.9460122699386503,15.0
4,20,babble,0.9458077709611452,15.0
5,20,babble,0.9466257668711656,15.0
6,20,babble,0.9421267893660532,15.0
7,20,babble,0.9464212678936605,15.0
8,20,babble,0.9411042944785276,15.0
9,20,babble,0.941717791411043,15.0
