noise_type,snr_train,snr_test,accuracy,model
street_music_foreground,27,9,0.7660531697341514,baseline
street_music_foreground,27,12,0.8384458077709611,baseline
street_music_foreground,27,15,0.8775051124744376,baseline
street_music_foreground,27,18,0.9028629856850716,baseline
street_music_foreground,27,21,0.9192229038854806,baseline
street_music_foreground,27,24,0.92719836400818,baseline
street_music_foreground,27,27,0.9341513292433538,baseline
street_music_foreground,27,30,0.9376278118609407,baseline
street_music_foreground,30,-3,0.18752556237218815,baseline
street_music_foreground,30,0,0.3,baseline
street_music_foreground,30,3,0.4750511247443763,baseline
street_music_foreground,30,6,0.6466257668711657,baseline
street_music_foreground,30,9,0.7662576687116565,baseline
street_music_foreground,30,12,0.8482617586912066,baseline
street_music_foreground,30,15,0.8885480572597138,baseline
street_music_foreground,30,18,0.9141104294478528,baseline
street_music_foreground,30,21,0.9278118609406953,baseline
street_music_foreground,30,24,0.9349693251533743,baseline
street_music_foreground,30,27,0.9390593047034764,baseline
street_music_foreground,30,30,0.943762781186094,baseline
