,seed,noise_snr,noise_test,accuracy
229,15,21,pink,0.9331288343558283
230,16,21,pink,0.932719836400818
231,17,21,pink,0.9396728016359919
232,18,21,pink,0.9335378323108384
233,19,21,pink,0.939877300613497
234,20,21,pink,0.9353783231083844
235,21,21,pink,0.9370143149284254
236,22,21,pink,0.9402862985685072
237,23,21,pink,0.9374233128834356
238,24,21,pink,0.9359918200408998
239,0,21,babble,0.9501022494887525
240,1,21,babble,0.9447852760736196
241,2,21,babble,0.9470347648261759
242,3,21,babble,0.9482617586912065
243,4,21,babble,0.9476482617586912
244,5,21,babble,0.9470347648261759
245,6,21,babble,0.9464212678936605
246,7,21,babble,0.9466257668711656
247,8,21,babble,0.947239263803681
248,9,21,babble,0.9439672801635992
249,10,21,babble,0.9505112474437628
250,11,21,babble,0.9539877300613497
251,12,21,babble,0.9486707566462168
252,13,21,babble,0.9543967280163599
253,14,21,babble,0.9484662576687116
254,15,21,babble,0.949079754601227
255,16,21,babble,0.9464212678936605
256,17,21,babble,0.9439672801635992
257,18,21,babble,0.943762781186094
258,19,21,babble,0.9507157464212679
259,20,21,babble,0.9492842535787321
260,21,21,babble,0.9447852760736196
261,22,21,babble,0.9503067484662576
262,23,21,babble,0.945398773006135
263,24,21,babble,0.9480572597137015
264,0,21,kitchen,0.9503067484662576
265,1,21,kitchen,0.9521472392638037
266,2,21,kitchen,0.9519427402862985
267,3,21,kitchen,0.9548057259713701
268,4,21,kitchen,0.947239263803681
269,5,21,kitchen,0.9525562372188139
270,6,21,kitchen,0.9507157464212679
271,7,21,kitchen,0.9517382413087935
272,8,21,kitchen,0.9511247443762781
273,9,21,kitchen,0.950920245398773
274,10,21,kitchen,0.9482617586912065
275,11,21,kitchen,0.9568507157464212
276,12,21,kitchen,0.9505112474437628
277,13,21,kitchen,0.9494887525562372
278,14,21,kitchen,0.9533742331288344
279,15,21,kitchen,0.9543967280163599
280,16,21,kitchen,0.9494887525562372
281,17,21,kitchen,0.9511247443762781
282,18,21,kitchen,0.9521472392638037
283,19,21,kitchen,0.9550102249488752
284,20,21,kitchen,0.9503067484662576
285,21,21,kitchen,0.9521472392638037
286,22,21,kitchen,0.9564417177914111
287,23,21,kitchen,0.9535787321063395
288,24,21,kitchen,0.9546012269938651
289,0,21,office,0.9568507157464212
290,1,21,office,0.9597137014314928
291,2,21,office,0.9566462167689161
292,3,21,office,0.9588957055214724
293,4,21,office,0.9554192229038855
294,5,21,office,0.9591002044989775
295,6,21,office,0.9595092024539877
296,7,21,office,0.9564417177914111
297,8,21,office,0.9574642126789366
298,9,21,office,0.9576687116564417
299,10,21,office,0.9560327198364008
300,11,21,office,0.9619631901840491
301,12,21,office,0.9601226993865031
302,13,21,office,0.9576687116564417
303,14,21,office,0.9615541922290388
304,15,21,office,0.9611451942740287
305,16,21,office,0.9570552147239264
306,17,21,office,0.9597137014314928
307,18,21,office,0.9627811860940695
308,19,21,office,0.9576687116564417
309,20,21,office,0.9562372188139059
310,21,21,office,0.9562372188139059
311,22,21,office,0.9609406952965235
312,23,21,office,0.9578732106339468
313,24,21,office,0.9597137014314928
314,0,21,living,0.9572597137014315
315,1,21,living,0.9572597137014315
316,2,21,living,0.9558282208588957
317,3,21,living,0.9578732106339468
318,4,21,living,0.9535787321063395
319,5,21,living,0.9566462167689161
320,6,21,living,0.9580777096114519
321,7,21,living,0.9570552147239264
322,8,21,living,0.9560327198364008
323,9,21,living,0.9560327198364008
324,10,21,living,0.9576687116564417
325,11,21,living,0.9625766871165644
326,12,21,living,0.9576687116564417
327,13,21,living,0.9572597137014315
328,14,21,living,0.959918200408998
329,15,21,living,0.9582822085889571
330,16,21,living,0.9570552147239264
331,17,21,living,0.9558282208588957
332,18,21,living,0.9556237218813906
333,19,21,living,0.9576687116564417
334,20,21,living,0.9556237218813906
335,21,21,living,0.9531697341513292
336,22,21,living,0.9574642126789366
337,23,21,living,0.9560327198364008
338,24,21,living,0.9564417177914111
339,0,18,white,0.9024539877300614
340,1,18,white,0.9306748466257668
341,2,18,white,0.9210633946830266
342,3,18,white,0.9151329243353783
343,4,18,white,0.92719836400818
344,5,18,white,0.9243353783231084
345,6,18,white,0.9280163599182004
346,7,18,white,0.9155419222903886
347,8,18,white,0.9226993865030675
348,9,18,white,0.9288343558282208
349,10,18,white,0.9147239263803681
350,11,18,white,0.9302658486707567
351,12,18,white,0.9282208588957055
352,13,18,white,0.9239263803680982
353,14,18,white,0.9231083844580777
354,15,18,white,0.9224948875255624
355,16,18,white,0.9200408997955011
356,17,18,white,0.9243353783231084
357,18,18,white,0.9226993865030675
358,19,18,white,0.9265848670756647
359,20,18,white,0.9214723926380368
360,21,18,white,0.9229038854805726
361,22,18,white,0.9321063394683027
362,23,18,white,0.9220858895705522
363,24,18,white,0.9202453987730062
364,0,18,pink,0.9069529652351738
365,1,18,pink,0.9304703476482618
366,2,18,pink,0.9165644171779141
367,3,18,pink,0.9204498977505112
368,4,18,pink,0.9243353783231084
369,5,18,pink,0.9259713701431492
370,6,18,pink,0.9269938650306748
371,7,18,pink,0.9243353783231084
372,8,18,pink,0.9243353783231084
373,9,18,pink,0.9249488752556237
374,10,18,pink,0.9196319018404908
375,11,18,pink,0.9269938650306748
376,12,18,pink,0.9233128834355828
377,13,18,pink,0.9226993865030675
378,14,18,pink,0.9198364008179959
379,15,18,pink,0.9241308793456032
380,16,18,pink,0.9204498977505112
381,17,18,pink,0.9302658486707567
382,18,18,pink,0.9220858895705522
383,19,18,pink,0.92719836400818
384,20,18,pink,0.9212678936605317
385,21,18,pink,0.9284253578732107
386,22,18,pink,0.9294478527607362
387,23,18,pink,0.9210633946830266
388,24,18,pink,0.9206543967280164
389,0,18,babble,0.9433537832310839
390,1,18,babble,0.9392638036809816
391,2,18,babble,0.9372188139059304
392,3,18,babble,0.943762781186094
393,4,18,babble,0.9415132924335379
394,5,18,babble,0.9413087934560327
395,6,18,babble,0.9388548057259714
396,7,18,babble,0.940081799591002
397,8,18,babble,0.9411042944785276
398,9,18,babble,0.9357873210633947
399,10,18,babble,0.941717791411043
400,11,18,babble,0.9501022494887525
401,12,18,babble,0.9415132924335379
402,13,18,babble,0.947239263803681
403,14,18,babble,0.9427402862985685
404,15,18,babble,0.9408997955010225
405,16,18,babble,0.938036809815951
406,17,18,babble,0.9374233128834356
407,18,18,babble,0.9368098159509203
408,19,18,babble,0.9443762781186094
409,20,18,babble,0.9433537832310839
410,21,18,babble,0.9355828220858896
411,22,18,babble,0.943762781186094
412,23,18,babble,0.9402862985685072
413,24,18,babble,0.9423312883435583
414,0,18,kitchen,0.9462167689161555
415,1,18,kitchen,0.9513292433537832
416,2,18,kitchen,0.9511247443762781
417,3,18,kitchen,0.9513292433537832
418,4,18,kitchen,0.9443762781186094
419,5,18,kitchen,0.9480572597137015
