noise_type,snr,accuracyFullPrecision,accuracyBinaryWeight,accuracyFullBinary
jackhammer_foreground,12,0.8676891615541922,0.8648261758691207,0.8034764826175869
siren_foreground,12,0.9155419222903886,0.8611451942740286,0.8415132924335378
street_music_foreground,12,0.8987730061349694,0.8323108384458078,0.7862985685071575
white,9,0.7687116564417178,0.843762781186094,0.8051124744376278
pink,9,0.7646216768916155,0.8384458077709611,0.778118609406953
babble,9,0.8997955010224948,0.8789366053169734,0.8087934560327198
air_conditioner_background,9,0.9186094069529652,0.905521472392638,0.8486707566462167
car_horn_background,9,0.9038854805725971,0.8523517382413088,0.6844580777096114
children_playing_background,9,0.8844580777096115,0.8498977505112475,0.7685071574642127
dog_bark_background,9,0.7730061349693251,0.7396728016359918,0.7167689161554193
drilling_background,9,0.876482617586912,0.8404907975460123,0.7969325153374233
engine_idling_background,9,0.8985685071574642,0.879959100204499,0.8323108384458078
gun_shot_background,9,0.9067484662576687,0.8674846625766871,0.8175869120654397
jackhammer_background,9,0.7685071574642127,0.8312883435582822,0.6973415132924335
siren_background,9,0.8752556237218814,0.8190184049079755,0.747239263803681
street_music_background,9,0.949079754601227,0.9349693251533743,0.896319018404908
air_conditioner_foreground,9,0.9222903885480572,0.9065439672801636,0.843762781186094
car_horn_foreground,9,0.8856850715746422,0.9118609406952966,0.8464212678936606
children_playing_foreground,9,0.8670756646216768,0.8413087934560327,0.7537832310838446
dog_bark_foreground,9,0.9284253578732107,0.850920245398773,0.8278118609406953
drilling_foreground,9,0.8758691206543967,0.8523517382413088,0.7764826175869121
engine_idling_foreground,9,0.9519427402862985,0.9343558282208589,0.8969325153374234
gun_shot_foreground,9,0.9124744376278119,0.8779141104294479,0.8298568507157464
jackhammer_foreground,9,0.7922290388548058,0.8265848670756646,0.7529652351738241
siren_foreground,9,0.9004089979550102,0.8216768916155419,0.7993865030674847
street_music_foreground,9,0.8505112474437628,0.7572597137014315,0.7263803680981595
white,6,0.5997955010224949,0.7926380368098159,0.7764826175869121
pink,6,0.5758691206543968,0.7660531697341514,0.7265848670756646
babble,6,0.8668711656441718,0.8388548057259714,0.7554192229038855
air_conditioner_background,6,0.8950920245398774,0.887321063394683,0.8059304703476483
car_horn_background,6,0.8736196319018404,0.8075664621676891,0.6024539877300613
children_playing_background,6,0.8458077709611452,0.7955010224948875,0.7073619631901841
dog_bark_background,6,0.7057259713701431,0.6689161554192229,0.6231083844580777
drilling_background,6,0.8413087934560327,0.791002044989775,0.758282208588957
engine_idling_background,6,0.876482617586912,0.8588957055214724,0.8040899795501022
gun_shot_background,6,0.8662576687116564,0.8116564417177914,0.7533742331288343
jackhammer_background,6,0.5922290388548057,0.7867075664621677,0.6132924335378324
siren_background,6,0.7985685071574642,0.7658486707566462,0.687321063394683
street_music_background,6,0.9392638036809816,0.9231083844580777,0.872597137014315
air_conditioner_foreground,6,0.8932515337423312,0.8797546012269939,0.7993865030674847
car_horn_foreground,6,0.834560327198364,0.8922290388548058,0.8323108384458078
children_playing_foreground,6,0.8083844580777096,0.7885480572597137,0.6846625766871166
dog_bark_foreground,6,0.9202453987730062,0.8063394683026585,0.7893660531697342
drilling_foreground,6,0.7959100204498978,0.8143149284253579,0.7355828220858895
engine_idling_foreground,6,0.9456032719836401,0.9245398773006135,0.8820040899795502
gun_shot_foreground,6,0.8838445807770962,0.8439672801635992,0.7991820040899795
jackhammer_foreground,6,0.6476482617586912,0.7680981595092025,0.6848670756646217
siren_foreground,6,0.880163599182004,0.7728016359918201,0.749079754601227
street_music_foreground,6,0.7550102249488753,0.652556237218814,0.6190184049079754
white,3,0.3928425357873211,0.6760736196319018,0.7118609406952965
pink,3,0.3478527607361963,0.5973415132924336,0.65439672801636
babble,3,0.8065439672801636,0.7629856850715746,0.6768916155419223
air_conditioner_background,3,0.8523517382413088,0.8531697341513292,0.7466257668711657
car_horn_background,3,0.8300613496932515,0.750920245398773,0.5214723926380368
children_playing_background,3,0.7838445807770961,0.7202453987730061,0.6321063394683026
dog_bark_background,3,0.6361963190184049,0.5828220858895705,0.5292433537832311
drilling_background,3,0.7895705521472393,0.7210633946830266,0.6977505112474438
engine_idling_background,3,0.8478527607361963,0.8192229038854806,0.7627811860940695
gun_shot_background,3,0.7809815950920246,0.7186094069529653,0.6633946830265849
jackhammer_background,3,0.35848670756646217,0.689161554192229,0.48813905930470347
siren_background,3,0.6261758691206544,0.6952965235173824,0.6034764826175869
street_music_background,3,0.9276073619631902,0.9079754601226994,0.8511247443762782
air_conditioner_foreground,3,0.8462167689161554,0.8357873210633947,0.7114519427402863
car_horn_foreground,3,0.7566462167689162,0.8674846625766871,0.7903885480572597
children_playing_foreground,3,0.7120654396728017,0.7100204498977505,0.5738241308793456
dog_bark_foreground,3,0.908997955010225,0.7650306748466258,0.7460122699386503
drilling_foreground,3,0.6423312883435582,0.7652351738241309,0.69079754601227
engine_idling_foreground,3,0.9372188139059304,0.912883435582822,0.8650306748466258
gun_shot_foreground,3,0.8349693251533742,0.7934560327198364,0.7515337423312883
jackhammer_foreground,3,0.41226993865030676,0.6666666666666666,0.5621676891615542
siren_foreground,3,0.8554192229038855,0.7118609406952965,0.6768916155419223
street_music_foreground,3,0.5901840490797546,0.5143149284253579,0.4593047034764826
white,0,0.20204498977505111,0.5110429447852761,0.6382413087934561
pink,0,0.1539877300613497,0.39304703476482616,0.5390593047034765
babble,0,0.7130879345603272,0.6376278118609406,0.5535787321063395
air_conditioner_background,0,0.7746421267893661,0.7989775051124745,0.6323108384458078
car_horn_background,0,0.7662576687116565,0.6660531697341513,0.4120654396728016
children_playing_background,0,0.698159509202454,0.6020449897750512,0.5306748466257669
dog_bark_background,0,0.5449897750511248,0.4732106339468303,0.43006134969325155
drilling_background,0,0.7040899795501022,0.6188139059304704,0.6096114519427402
engine_idling_background,0,0.8112474437627812,0.7683026584867075,0.7190184049079754
gun_shot_background,0,0.63640081799591,0.5856850715746421,0.5415132924335379
jackhammer_background,0,0.18793456032719835,0.48282208588957054,0.3390593047034765
siren_background,0,0.3787321063394683,0.592842535787321,0.4685071574642127
street_music_background,0,0.9065439672801636,0.8809815950920246,0.8059304703476483
air_conditioner_foreground,0,0.7711656441717791,0.7566462167689162,0.5685071574642127
car_horn_foreground,0,0.6339468302658486,0.8351738241308794,0.7619631901840491
children_playing_foreground,0,0.5591002044989775,0.5875255623721881,0.4498977505112474
dog_bark_foreground,0,0.8903885480572598,0.7094069529652351,0.7024539877300614
drilling_foreground,0,0.4263803680981595,0.692638036809816,0.6380368098159509
engine_idling_foreground,0,0.9231083844580777,0.8985685071574642,0.8312883435582822
gun_shot_foreground,0,0.754601226993865,0.7079754601226994,0.6760736196319018
jackhammer_foreground,0,0.20143149284253578,0.48302658486707567,0.3983640081799591
siren_foreground,0,0.8175869120654397,0.6415132924335378,0.5961145194274029
street_music_foreground,0,0.36809815950920244,0.3768916155419223,0.32004089979550104
