noise_type,snr_train,snr_test,accuracy
car_horn_background,6,-3,0.7406952965235174
car_horn_background,6,0,0.8165644171779141
car_horn_background,6,3,0.8650306748466258
car_horn_background,6,6,0.8905930470347648
car_horn_background,6,9,0.9057259713701431
car_horn_background,6,12,0.9159509202453988
car_horn_background,6,15,0.9218813905930471
car_horn_background,6,18,0.9282208588957055
car_horn_background,6,21,0.9312883435582822
car_horn_background,6,24,0.9343558282208589
car_horn_background,6,27,0.9357873210633947
car_horn_background,6,30,0.9361963190184049
car_horn_background,9,-3,0.7098159509202454
car_horn_background,9,0,0.7997955010224949
car_horn_background,9,3,0.8578732106339468
car_horn_background,9,6,0.8887525562372188
car_horn_background,9,9,0.9079754601226994
car_horn_background,9,12,0.9226993865030675
car_horn_background,9,15,0.9300613496932515
car_horn_background,9,18,0.9341513292433538
car_horn_background,9,21,0.940081799591002
car_horn_background,9,24,0.9423312883435583
car_horn_background,9,27,0.9447852760736196
car_horn_background,9,30,0.9447852760736196
car_horn_background,12,-3,0.7
car_horn_background,12,0,0.8016359918200409
car_horn_background,12,3,0.8558282208588958
car_horn_background,12,6,0.8916155419222904
car_horn_background,12,9,0.9139059304703476
car_horn_background,12,12,0.9251533742331288
car_horn_background,12,15,0.9331288343558283
car_horn_background,12,18,0.9370143149284254
car_horn_background,12,21,0.9404907975460123
car_horn_background,12,24,0.943558282208589
car_horn_background,12,27,0.9462167689161555
car_horn_background,12,30,0.9484662576687116
car_horn_background,15,-3,0.6423312883435582
car_horn_background,15,0,0.7574642126789366
car_horn_background,15,3,0.8323108384458078
car_horn_background,15,6,0.879959100204499
car_horn_background,15,9,0.905521472392638
car_horn_background,15,12,0.9226993865030675
car_horn_background,15,15,0.9333333333333333
car_horn_background,15,18,0.9423312883435583
car_horn_background,15,21,0.9460122699386503
car_horn_background,15,24,0.9478527607361963
car_horn_background,15,27,0.9492842535787321
car_horn_background,15,30,0.9498977505112475
car_horn_background,18,-3,0.661963190184049
car_horn_background,18,0,0.7678936605316974
car_horn_background,18,3,0.8392638036809816
car_horn_background,18,6,0.8842535787321063
car_horn_background,18,9,0.9077709611451943
car_horn_background,18,12,0.9276073619631902
car_horn_background,18,15,0.9368098159509203
car_horn_background,18,18,0.9445807770961145
car_horn_background,18,21,0.9496932515337423
car_horn_background,18,24,0.9523517382413088
car_horn_background,18,27,0.9525562372188139
car_horn_background,18,30,0.9529652351738241
car_horn_background,21,-3,0.6355828220858896
car_horn_background,21,0,0.7431492842535787
car_horn_background,21,3,0.8229038854805726
car_horn_background,21,6,0.8740286298568507
car_horn_background,21,9,0.9051124744376278
car_horn_background,21,12,0.9243353783231084
car_horn_background,21,15,0.9355828220858896
car_horn_background,21,18,0.9441717791411043
car_horn_background,21,21,0.9511247443762781
car_horn_background,21,24,0.9523517382413088
car_horn_background,21,27,0.9525562372188139
car_horn_background,21,30,0.9533742331288344
car_horn_background,24,-3,0.5805725971370144
car_horn_background,24,0,0.6950920245398773
car_horn_background,24,3,0.7793456032719837
car_horn_background,24,6,0.8429447852760736
car_horn_background,24,9,0.8875255623721882
car_horn_background,24,12,0.9137014314928426
car_horn_background,24,15,0.9298568507157464
car_horn_background,24,18,0.939877300613497
car_horn_background,24,21,0.9470347648261759
car_horn_background,24,24,0.9505112474437628
car_horn_background,24,27,0.9525562372188139
car_horn_background,24,30,0.9539877300613497
car_horn_background,27,-3,0.5809815950920245
car_horn_background,27,0,0.6895705521472393
car_horn_background,27,3,0.7730061349693251
car_horn_background,27,6,0.841922290388548
car_horn_background,27,9,0.8830265848670756
car_horn_background,27,12,0.9102249488752556
car_horn_background,27,15,0.9280163599182004
car_horn_background,27,18,0.9396728016359919
car_horn_background,27,21,0.9466257668711656
car_horn_background,27,24,0.9505112474437628
car_horn_background,27,27,0.9537832310838446
car_horn_background,27,30,0.9546012269938651
car_horn_background,30,-3,0.5570552147239264
car_horn_background,30,0,0.6609406952965236
car_horn_background,30,3,0.7451942740286298
car_horn_background,30,6,0.820040899795501
car_horn_background,30,9,0.8697341513292434
car_horn_background,30,12,0.9030674846625767
car_horn_background,30,15,0.9231083844580777
car_horn_background,30,18,0.9357873210633947
car_horn_background,30,21,0.9433537832310839
car_horn_background,30,24,0.9486707566462168
car_horn_background,30,27,0.9525562372188139
